Serial,Event,Code_County,County,Code_District,District,Code_Division,Division,Date_YMD,Cause,Description_of_Cause,Source,Magnitude,GLIDEnumber,Other_sectors,DataCards,Deaths,Injured,Missing,Houses_Destroyed,Houses_Damaged,Victims,Affected,Relocated,Evacuated,Losses_$USD,Losses_$Local,Education_centers,Hospitals,Damages_in_crops_Ha,Lost_Cattle,OBJECTID
Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,0
811,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130707,THIKA MUNICIPALITY,06/05/2011 07:00:00 AM +0000,Hit and Run,Pedal cyclist knocked down by an unknown car,KPR,,,Bicycle was damaged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,511
813,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130701,GATANGA,06/05/2011 07:00:00 AM +0000,Error,Driver lost control and rolled & landed in a ditch,KPR,,,Motor vehicle was damaged,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,512
814,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,03/21/2011 07:00:00 AM +0000,Hit and Run,Body found on the side of the road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513
817,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311012,NAIVASHA,03/21/2011 07:00:00 AM +0000,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514
818,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311003,GILGIL,03/21/2011 07:00:00 AM +0000,,,KPR,,,Lorry and motorvehicle damaged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515
819,TRAFFIC ACCIDENT,15,KIRINYAGA,1502,KIRINYAGA,150201,CENTRAL KIRINYAGA,05/22/2011 07:00:00 AM +0000,Negligence,Pedal cyclist knocked down,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,516
820,TRAFFIC ACCIDENT,22,MACHAKOS,2204,MACHAKOS,220403,KANGUNDO,06/05/2011 07:00:00 AM +0000,Hit and Run,Man was hit by unknown vehicle,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517
821,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130702,GATUNDU,05/22/2011 07:00:00 AM +0000,Negligence,Pedestrian knocked down by a motorcyclist,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518
823,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300106,MAKADARA,03/22/2011 07:00:00 AM +0000,Negligence,Pedal cyclist knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
825,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,05/22/2011 07:00:00 AM +0000,Negligence,Pedestrian knocked down,Kenya Police Report,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520
827,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300104,KASARANI,06/05/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a trailer,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,521
